Yatırımlık Arsa | Antalya | Aksu | Patırlar | Arsa | 5000 |  | İmara açık yatırımlık Arsa | 1450000
Eşyalı | İstanbul | Beşiktaş | Dikilitaş | Kiralık Daire | 130 | 3+1 | Beşiktaş | 14000
Havuzlu Villa | Antalya | Döşemealtı | Yeşilbayır | Kiralık Villa | 299 | 6+2 | İnşaat firmasından Antalya'nın en güzel yerinde kiralık havuzlu müstakil villa | 45000
Antalya | Antalya | Muratpaşa | Fener | Kiralık Daire | 200 | 4+1 | Antalya'da | 25000
Heybeliada | İstanbul | Adalar | Heybeliada | Satılık Villa | 300 | 5+2 | Müstakil Bahçeli sahile yakın ters dublex, satılık villa | 7350000
Beylikdüzü | İstanbul | Beylikdüzü | Barış | Kiralık Daire | 200 | 4+1 | İstanbul'un | 20000
Kadıköy kiralık 3+1 | İstanbul | Kadıköy | Acıbadem | Kiralık Daire | 180 | 2+1 | Kısa dönem eşyalı kiralık 2+1 | 10000
Acil Satılık Arsa | Antalya | Döşemealtı | Duacı | Arsa | 6000 |  | İmara açık acil satılık arsa | 4500000
Sahibinden Kiralık Acil | Ankara | Çankaya | Bahçelievler  | Kiralık | 85 | 1+1 | Öğrenciye kiralık eşyalı | 4000
Boğaz Manzaralı 4+1 | İstanbul | Beşiktaş | Nispetiye | Kiralık Daire | 350 | 4+1 | 32. Kat Residance, 6 ay peşin eşyasız kiralık | 75000
